1,0,95,0,0,0
2,0,0,84,0,1
3,0,0,0,106,0
4,7,0,1,0,99
0,101,0,1,0,9
1,0,95,0,0,0
2,0,0,84,0,1
3,0,0,0,106,0
4,8,0,1,0,98
0,101,0,1,0,9
1,0,95,0,0,0
2,0,0,84,0,1
3,0,0,0,106,0
4,6,0,1,0,100
0,100,0,1,0,10
1,0,95,0,0,0
2,0,0,84,0,1
3,0,0,0,106,0
4,6,0,1,0,100
0,102,0,1,0,8
1,0,95,0,0,0
2,0,0,84,0,1
3,0,0,0,106,0
4,10,0,1,0,96
0,103,0,1,0,7
1,0,95,0,0,0
2,0,0,84,0,1
3,0,0,0,106,0
4,10,0,1,0,96
0,102,0,1,0,8
1,0,95,0,0,0
2,0,0,84,0,1
3,0,0,0,106,0
4,10,0,1,0,96
0,102,0,1,0,8
1,0,95,0,0,0
2,0,0,84,0,1
3,0,0,0,106,0
4,10,0,1,0,96
0,101,0,1,0,9
1,0,95,0,0,0
2,0,0,84,0,1
3,0,0,0,106,0
4,9,0,1,0,97
0,101,0,1,0,9
1,0,95,0,0,0
2,0,0,84,0,1
3,0,0,0,106,0
4,9,0,1,0,97
0,14,0,0,0,1
1,0,8,0,0,0
2,0,0,11,0,0
3,0,0,0,17,0
4,0,0,1,0,16
0,14,0,0,0,1
1,0,8,0,0,0
2,0,0,11,0,0
3,0,0,0,17,0
4,0,0,1,0,16
0,14,0,0,0,1
1,0,8,0,0,0
2,0,0,11,0,0
3,0,0,0,17,0
4,0,0,1,0,16
0,14,0,0,0,1
1,0,8,0,0,0
2,0,0,11,0,0
3,0,0,0,17,0
4,1,0,1,0,15
0,14,0,0,0,1
1,0,8,0,0,0
2,0,0,11,0,0
3,0,0,0,17,0
4,1,0,1,0,15
0,14,0,0,0,1
1,0,8,0,0,0
2,0,0,11,0,0
3,0,0,0,17,0
4,0,0,1,0,16
0,14,0,0,0,1
1,0,8,0,0,0
2,0,0,11,0,0
3,0,0,0,17,0
4,0,0,1,0,16
0,14,0,0,0,1
1,0,8,0,0,0
2,0,0,11,0,0
3,0,0,0,17,0
4,0,0,1,0,16
0,14,0,0,0,1
1,0,8,0,0,0
2,0,0,11,0,0
3,0,0,0,17,0
4,0,0,1,0,16
0,14,0,0,0,1
1,0,8,0,0,0
2,0,0,11,0,0
